sentence,first_noun,verb,second_noun,number
amakhompyutha athenga umzila onye,amakhompyutha,athenga,umzila,1
amakhompyutha athenga isicathulo esinye,amakhompyutha,athenga,isicathulo,1
amakhompyutha athenga ihholitshi elinye,amakhompyutha,athenga,ihholitshi,1
amakhompyutha athenga isihlahla esinye,amakhompyutha,athenga,isihlahla,1
amakhompyutha athenga ihhotela elinye,amakhompyutha,athenga,ihhotela,1
amakhompyutha athenga ihebhivo elinye,amakhompyutha,athenga,ihebhivo,1
amakhompyutha athenga umuthi onye,amakhompyutha,athenga,umuthi,1
amakhompyutha athenga igilebhisi elinye,amakhompyutha,athenga,igilebhisi,1
amakhompyutha athenga isikukhukhula esinye,amakhompyutha,athenga,isikukhukhula,1
amakhompyutha athenga inyuvesi enye,amakhompyutha,athenga,inyuvesi,1
amakhompyutha athenga inja enye,amakhompyutha,athenga,inja,1
amakhompyutha athenga iphoyisa elinye,amakhompyutha,athenga,iphoyisa,1
amakhompyutha athenga umkhandlu onye,amakhompyutha,athenga,umkhandlu,1
amakhompyutha athenga iwayini elinye,amakhompyutha,athenga,iwayini,1
amakhompyutha athenga uphawu olunye,amakhompyutha,athenga,uphawu,1
amakhompyutha athenga indawo yokubhukuda enye,amakhompyutha,athenga,indawo yokubhukuda,1
amakhompyutha athenga ikhompyutha elinye,amakhompyutha,athenga,ikhompyutha,1
amakhompyutha athenga isikhulumi esinye,amakhompyutha,athenga,isikhulumi,1
amakhompyutha athenga inyama enye,amakhompyutha,athenga,inyama,1
amakhompyutha athenga udokotela onye,amakhompyutha,athenga,udokotela,1
amakhompyutha athenga indlovu enye,amakhompyutha,athenga,indlovu,1
amakhompyutha athenga inkampani enye,amakhompyutha,athenga,inkampani,1
amakhompyutha athenga inkukhu enye,amakhompyutha,athenga,inkukhu,1
amakhompyutha athenga umlamuleli onye,amakhompyutha,athenga,umlamuleli,1
amakhompyutha athenga isidlo esinye,amakhompyutha,athenga,isidlo,1
amakhompyutha athenga umfundi we-undergraduate onye,amakhompyutha,athenga,umfundi we-undergraduate,1
amakhompyutha athenga ipayipi elinye,amakhompyutha,athenga,ipayipi,1
amakhompyutha athenga umfundisi onye,amakhompyutha,athenga,umfundisi,1
amakhompyutha athenga ibhodwe elinye,amakhompyutha,athenga,ibhodwe,1
amakhompyutha athenga iphalamende elinye,amakhompyutha,athenga,iphalamende,1
amakhompyutha athenga iholidi elinye,amakhompyutha,athenga,iholidi,1
amakhompyutha athenga indaba enye,amakhompyutha,athenga,indaba,1
amakhompyutha athenga ufishi onye,amakhompyutha,athenga,ufishi,1
amakhompyutha athenga ithoyizi elinye,amakhompyutha,athenga,ithoyizi,1
amakhompyutha athenga umfula onye,amakhompyutha,athenga,umfula,1
amakhompyutha athenga ukhilimu oyiqhwa onye,amakhompyutha,athenga,ukhilimu oyiqhwa,1
amakhompyutha athenga ibhokisi elinye,amakhompyutha,athenga,ibhokisi,1
amakhompyutha athenga isitambu esinye,amakhompyutha,athenga,isitambu,1
amakhompyutha athenga umsebenzi onye,amakhompyutha,athenga,umsebenzi,1
amakhompyutha athenga umgodi onye,amakhompyutha,athenga,umgodi,1
amakhompyutha athenga ihlo elinye,amakhompyutha,athenga,ihlo,1
amakhompyutha athenga insimu enye,amakhompyutha,athenga,insimu,1
amakhompyutha athenga isifunda esinye,amakhompyutha,athenga,isifunda,1
amakhompyutha athenga udonga onye,amakhompyutha,athenga,udonga,1
amakhompyutha athenga itiye elinye,amakhompyutha,athenga,itiye,1
amakhompyutha athenga ibhodlela elinye,amakhompyutha,athenga,ibhodlela,1
amakhompyutha athenga ukhiye onye,amakhompyutha,athenga,ukhiye,1
amakhompyutha athenga inkantini enye,amakhompyutha,athenga,inkantini,1
amakhompyutha athenga isisu esinye,amakhompyutha,athenga,isisu,1
amakhompyutha athenga uphaya onye,amakhompyutha,athenga,uphaya,1
amakhompyutha athenga intaba enye,amakhompyutha,athenga,intaba,1
amakhompyutha athenga umengammeli onye,amakhompyutha,athenga,umengammeli,1
amakhompyutha athenga umhlaba onye,amakhompyutha,athenga,umhlaba,1
amakhompyutha athenga ibhanoyi elinye,amakhompyutha,athenga,ibhanoyi,1
amakhompyutha athenga incwadi enye,amakhompyutha,athenga,incwadi,1
amakhompyutha athenga isitshalo esinye,amakhompyutha,athenga,isitshalo,1
amakhompyutha athenga unesi onye,amakhompyutha,athenga,unesi,1
amakhompyutha athenga isithwebuli esinye,amakhompyutha,athenga,isithwebuli,1
amakhompyutha athenga isilwane esifuyiweyo esinye,amakhompyutha,athenga,isilwane esifuyiweyo,1
amakhompyutha athenga igumbi elinye,amakhompyutha,athenga,igumbi,1
amakhompyutha athenga iwindi elinye,amakhompyutha,athenga,iwindi,1
amakhompyutha athenga ulwandle olunye,amakhompyutha,athenga,ulwandle,1
amakhompyutha athenga ummeli onye,amakhompyutha,athenga,ummeli,1
amakhompyutha athenga umphakathi onye,amakhompyutha,athenga,umphakathi,1
amakhompyutha athenga ikomidi elinye,amakhompyutha,athenga,ikomidi,1
amakhompyutha athenga indlwana enye,amakhompyutha,athenga,indlwana,1
amakhompyutha athenga iphilisi elinye,amakhompyutha,athenga,iphilisi,1
amakhompyutha athenga uhlaza olunye,amakhompyutha,athenga,uhlaza,1
amakhompyutha athenga imoto enye,amakhompyutha,athenga,imoto,1
amakomidi athenga imali enye,amakomidi,athenga,imali,1
amakomidi athenga ijikijolo elinye,amakomidi,athenga,ijikijolo,1
amakomidi athenga inyoni enye,amakomidi,athenga,inyoni,1
amakomidi athenga ibhishi elinye,amakomidi,athenga,ibhishi,1
amakomidi athenga izwe elinye,amakomidi,athenga,izwe,1
amakomidi athenga isakhiwo esinye,amakomidi,athenga,isakhiwo,1
amakomidi athenga umnini onye,amakomidi,athenga,umnini,1
amakomidi athenga unyawo olunye,amakomidi,athenga,unyawo,1
amakomidi athenga izambane elinye,amakomidi,athenga,izambane,1
amakomidi athenga iNkosi enye,amakomidi,athenga,iNkosi,1
amakomidi athenga ibhola elinye,amakomidi,athenga,ibhola,1
amakomidi athenga umzila onye,amakomidi,athenga,umzila,1
amakomidi athenga isicathulo esinye,amakomidi,athenga,isicathulo,1
amakomidi athenga ihholitshi elinye,amakomidi,athenga,ihholitshi,1
amakomidi athenga isihlahla esinye,amakomidi,athenga,isihlahla,1
amakomidi athenga ihhotela elinye,amakomidi,athenga,ihhotela,1
amakomidi athenga ihebhivo elinye,amakomidi,athenga,ihebhivo,1
amakomidi athenga umuthi onye,amakomidi,athenga,umuthi,1
amakomidi athenga igilebhisi elinye,amakomidi,athenga,igilebhisi,1
amakomidi athenga isikukhukhula esinye,amakomidi,athenga,isikukhukhula,1
amakomidi athenga inyuvesi enye,amakomidi,athenga,inyuvesi,1
amakomidi athenga inja enye,amakomidi,athenga,inja,1
amakomidi athenga iphoyisa elinye,amakomidi,athenga,iphoyisa,1
amakomidi athenga umkhandlu onye,amakomidi,athenga,umkhandlu,1
amakomidi athenga iwayini elinye,amakomidi,athenga,iwayini,1
amakomidi athenga uphawu olunye,amakomidi,athenga,uphawu,1
amakomidi athenga indawo yokubhukuda enye,amakomidi,athenga,indawo yokubhukuda,1
amakomidi athenga ikhompyutha elinye,amakomidi,athenga,ikhompyutha,1
amakomidi athenga isikhulumi esinye,amakomidi,athenga,isikhulumi,1
amakomidi athenga inyama enye,amakomidi,athenga,inyama,1
amakomidi athenga udokotela onye,amakomidi,athenga,udokotela,1
amakomidi athenga indlovu enye,amakomidi,athenga,indlovu,1
amakomidi athenga inkampani enye,amakomidi,athenga,inkampani,1
amakomidi athenga inkukhu enye,amakomidi,athenga,inkukhu,1
amakomidi athenga umlamuleli onye,amakomidi,athenga,umlamuleli,1
amakomidi athenga isidlo esinye,amakomidi,athenga,isidlo,1
amakomidi athenga umfundi we-undergraduate onye,amakomidi,athenga,umfundi we-undergraduate,1
amakomidi athenga ipayipi elinye,amakomidi,athenga,ipayipi,1
amakomidi athenga umfundisi onye,amakomidi,athenga,umfundisi,1
amakomidi athenga ibhodwe elinye,amakomidi,athenga,ibhodwe,1
amakomidi athenga iphalamende elinye,amakomidi,athenga,iphalamende,1
amakomidi athenga iholidi elinye,amakomidi,athenga,iholidi,1
amakomidi athenga indaba enye,amakomidi,athenga,indaba,1
amakomidi athenga ufishi onye,amakomidi,athenga,ufishi,1
amakomidi athenga ithoyizi elinye,amakomidi,athenga,ithoyizi,1
amakomidi athenga umfula onye,amakomidi,athenga,umfula,1
amakomidi athenga ukhilimu oyiqhwa onye,amakomidi,athenga,ukhilimu oyiqhwa,1
amakomidi athenga ibhokisi elinye,amakomidi,athenga,ibhokisi,1
amakomidi athenga isitambu esinye,amakomidi,athenga,isitambu,1
amakomidi athenga umsebenzi onye,amakomidi,athenga,umsebenzi,1
amakomidi athenga umgodi onye,amakomidi,athenga,umgodi,1
amakomidi athenga ihlo elinye,amakomidi,athenga,ihlo,1
amakomidi athenga insimu enye,amakomidi,athenga,insimu,1
amakomidi athenga isifunda esinye,amakomidi,athenga,isifunda,1
amakomidi athenga udonga onye,amakomidi,athenga,udonga,1
amakomidi athenga itiye elinye,amakomidi,athenga,itiye,1
amakomidi athenga ibhodlela elinye,amakomidi,athenga,ibhodlela,1
amakomidi athenga ukhiye onye,amakomidi,athenga,ukhiye,1
amakomidi athenga inkantini enye,amakomidi,athenga,inkantini,1
amakomidi athenga isisu esinye,amakomidi,athenga,isisu,1
amakomidi athenga uphaya onye,amakomidi,athenga,uphaya,1
amakomidi athenga intaba enye,amakomidi,athenga,intaba,1
amakomidi athenga umengammeli onye,amakomidi,athenga,umengammeli,1
amakomidi athenga umhlaba onye,amakomidi,athenga,umhlaba,1
amakomidi athenga ibhanoyi elinye,amakomidi,athenga,ibhanoyi,1
amakomidi athenga incwadi enye,amakomidi,athenga,incwadi,1
amakomidi athenga isitshalo esinye,amakomidi,athenga,isitshalo,1
amakomidi athenga unesi onye,amakomidi,athenga,unesi,1
amakomidi athenga isithwebuli esinye,amakomidi,athenga,isithwebuli,1
amakomidi athenga isilwane esifuyiweyo esinye,amakomidi,athenga,isilwane esifuyiweyo,1
amakomidi athenga igumbi elinye,amakomidi,athenga,igumbi,1
amakomidi athenga iwindi elinye,amakomidi,athenga,iwindi,1
amakomidi athenga ulwandle olunye,amakomidi,athenga,ulwandle,1
amakomidi athenga ummeli onye,amakomidi,athenga,ummeli,1
amakomidi athenga umphakathi onye,amakomidi,athenga,umphakathi,1
amakomidi athenga ikomidi elinye,amakomidi,athenga,ikomidi,1
amakomidi athenga indlwana enye,amakomidi,athenga,indlwana,1
amakomidi athenga iphilisi elinye,amakomidi,athenga,iphilisi,1
amakomidi athenga uhlaza olunye,amakomidi,athenga,uhlaza,1
amakomidi athenga imoto enye,amakomidi,athenga,imoto,1
amathoyizi athenga imali enye,amathoyizi,athenga,imali,1
amathoyizi athenga ijikijolo elinye,amathoyizi,athenga,ijikijolo,1
amathoyizi athenga inyoni enye,amathoyizi,athenga,inyoni,1
amathoyizi athenga ibhishi elinye,amathoyizi,athenga,ibhishi,1
amathoyizi athenga izwe elinye,amathoyizi,athenga,izwe,1
amathoyizi athenga isakhiwo esinye,amathoyizi,athenga,isakhiwo,1
amathoyizi athenga umnini onye,amathoyizi,athenga,umnini,1
amathoyizi athenga unyawo olunye,amathoyizi,athenga,unyawo,1
amathoyizi athenga izambane elinye,amathoyizi,athenga,izambane,1
amathoyizi athenga iNkosi enye,amathoyizi,athenga,iNkosi,1
amathoyizi athenga ibhola elinye,amathoyizi,athenga,ibhola,1
amathoyizi athenga umzila onye,amathoyizi,athenga,umzila,1
amathoyizi athenga isicathulo esinye,amathoyizi,athenga,isicathulo,1
amathoyizi athenga ihholitshi elinye,amathoyizi,athenga,ihholitshi,1
amathoyizi athenga isihlahla esinye,amathoyizi,athenga,isihlahla,1
amathoyizi athenga ihhotela elinye,amathoyizi,athenga,ihhotela,1
amathoyizi athenga ihebhivo elinye,amathoyizi,athenga,ihebhivo,1
amathoyizi athenga umuthi onye,amathoyizi,athenga,umuthi,1
amathoyizi athenga igilebhisi elinye,amathoyizi,athenga,igilebhisi,1
amathoyizi athenga isikukhukhula esinye,amathoyizi,athenga,isikukhukhula,1
amathoyizi athenga inyuvesi enye,amathoyizi,athenga,inyuvesi,1
amathoyizi athenga inja enye,amathoyizi,athenga,inja,1
amathoyizi athenga iphoyisa elinye,amathoyizi,athenga,iphoyisa,1
amathoyizi athenga umkhandlu onye,amathoyizi,athenga,umkhandlu,1
amathoyizi athenga iwayini elinye,amathoyizi,athenga,iwayini,1
amathoyizi athenga uphawu olunye,amathoyizi,athenga,uphawu,1
amathoyizi athenga indawo yokubhukuda enye,amathoyizi,athenga,indawo yokubhukuda,1
amathoyizi athenga ikhompyutha elinye,amathoyizi,athenga,ikhompyutha,1
amathoyizi athenga isikhulumi esinye,amathoyizi,athenga,isikhulumi,1
amathoyizi athenga inyama enye,amathoyizi,athenga,inyama,1
amathoyizi athenga udokotela onye,amathoyizi,athenga,udokotela,1
amathoyizi athenga indlovu enye,amathoyizi,athenga,indlovu,1
amathoyizi athenga inkampani enye,amathoyizi,athenga,inkampani,1
amathoyizi athenga inkukhu enye,amathoyizi,athenga,inkukhu,1
amathoyizi athenga umlamuleli onye,amathoyizi,athenga,umlamuleli,1
amathoyizi athenga isidlo esinye,amathoyizi,athenga,isidlo,1
amathoyizi athenga umfundi we-undergraduate onye,amathoyizi,athenga,umfundi we-undergraduate,1
amathoyizi athenga ipayipi elinye,amathoyizi,athenga,ipayipi,1
amathoyizi athenga umfundisi onye,amathoyizi,athenga,umfundisi,1
amathoyizi athenga ibhodwe elinye,amathoyizi,athenga,ibhodwe,1
amathoyizi athenga iphalamende elinye,amathoyizi,athenga,iphalamende,1
amathoyizi athenga iholidi elinye,amathoyizi,athenga,iholidi,1
amathoyizi athenga indaba enye,amathoyizi,athenga,indaba,1
amathoyizi athenga ufishi onye,amathoyizi,athenga,ufishi,1
amathoyizi athenga ithoyizi elinye,amathoyizi,athenga,ithoyizi,1
amathoyizi athenga umfula onye,amathoyizi,athenga,umfula,1
amathoyizi athenga ukhilimu oyiqhwa onye,amathoyizi,athenga,ukhilimu oyiqhwa,1
amathoyizi athenga ibhokisi elinye,amathoyizi,athenga,ibhokisi,1
amathoyizi athenga isitambu esinye,amathoyizi,athenga,isitambu,1
amathoyizi athenga umsebenzi onye,amathoyizi,athenga,umsebenzi,1
amathoyizi athenga umgodi onye,amathoyizi,athenga,umgodi,1
amathoyizi athenga ihlo elinye,amathoyizi,athenga,ihlo,1
amathoyizi athenga insimu enye,amathoyizi,athenga,insimu,1
amathoyizi athenga isifunda esinye,amathoyizi,athenga,isifunda,1
amathoyizi athenga udonga onye,amathoyizi,athenga,udonga,1
amathoyizi athenga itiye elinye,amathoyizi,athenga,itiye,1
amathoyizi athenga ibhodlela elinye,amathoyizi,athenga,ibhodlela,1
amathoyizi athenga ukhiye onye,amathoyizi,athenga,ukhiye,1
amathoyizi athenga inkantini enye,amathoyizi,athenga,inkantini,1
amathoyizi athenga isisu esinye,amathoyizi,athenga,isisu,1
amathoyizi athenga uphaya onye,amathoyizi,athenga,uphaya,1
amathoyizi athenga intaba enye,amathoyizi,athenga,intaba,1
amathoyizi athenga umengammeli onye,amathoyizi,athenga,umengammeli,1
amathoyizi athenga umhlaba onye,amathoyizi,athenga,umhlaba,1
amathoyizi athenga ibhanoyi elinye,amathoyizi,athenga,ibhanoyi,1
amathoyizi athenga incwadi enye,amathoyizi,athenga,incwadi,1
amathoyizi athenga isitshalo esinye,amathoyizi,athenga,isitshalo,1
amathoyizi athenga unesi onye,amathoyizi,athenga,unesi,1
amathoyizi athenga isithwebuli esinye,amathoyizi,athenga,isithwebuli,1
amathoyizi athenga isilwane esifuyiweyo esinye,amathoyizi,athenga,isilwane esifuyiweyo,1
amathoyizi athenga igumbi elinye,amathoyizi,athenga,igumbi,1
amathoyizi athenga iwindi elinye,amathoyizi,athenga,iwindi,1
amathoyizi athenga ulwandle olunye,amathoyizi,athenga,ulwandle,1
amathoyizi athenga ummeli onye,amathoyizi,athenga,ummeli,1
amathoyizi athenga umphakathi onye,amathoyizi,athenga,umphakathi,1
amathoyizi athenga ikomidi elinye,amathoyizi,athenga,ikomidi,1
amathoyizi athenga indlwana enye,amathoyizi,athenga,indlwana,1
amathoyizi athenga iphilisi elinye,amathoyizi,athenga,iphilisi,1
amathoyizi athenga uhlaza olunye,amathoyizi,athenga,uhlaza,1
amathoyizi athenga imoto enye,amathoyizi,athenga,imoto,1
iziNkosi zithenga imali enye,iziNkosi,zithenga,imali,1
iziNkosi zithenga ijikijolo elinye,iziNkosi,zithenga,ijikijolo,1
iziNkosi zithenga inyoni enye,iziNkosi,zithenga,inyoni,1
iziNkosi zithenga ibhishi elinye,iziNkosi,zithenga,ibhishi,1
iziNkosi zithenga izwe elinye,iziNkosi,zithenga,izwe,1
iziNkosi zithenga isakhiwo esinye,iziNkosi,zithenga,isakhiwo,1
iziNkosi zithenga umnini onye,iziNkosi,zithenga,umnini,1
iziNkosi zithenga unyawo olunye,iziNkosi,zithenga,unyawo,1
iziNkosi zithenga izambane elinye,iziNkosi,zithenga,izambane,1
iziNkosi zithenga iNkosi enye,iziNkosi,zithenga,iNkosi,1
iziNkosi zithenga ibhola elinye,iziNkosi,zithenga,ibhola,1
iziNkosi zithenga umzila onye,iziNkosi,zithenga,umzila,1
iziNkosi zithenga isicathulo esinye,iziNkosi,zithenga,isicathulo,1
iziNkosi zithenga ihholitshi elinye,iziNkosi,zithenga,ihholitshi,1
iziNkosi zithenga isihlahla esinye,iziNkosi,zithenga,isihlahla,1
iziNkosi zithenga ihhotela elinye,iziNkosi,zithenga,ihhotela,1
iziNkosi zithenga ihebhivo elinye,iziNkosi,zithenga,ihebhivo,1
iziNkosi zithenga umuthi onye,iziNkosi,zithenga,umuthi,1
iziNkosi zithenga igilebhisi elinye,iziNkosi,zithenga,igilebhisi,1
iziNkosi zithenga isikukhukhula esinye,iziNkosi,zithenga,isikukhukhula,1
iziNkosi zithenga inyuvesi enye,iziNkosi,zithenga,inyuvesi,1
iziNkosi zithenga inja enye,iziNkosi,zithenga,inja,1
iziNkosi zithenga iphoyisa elinye,iziNkosi,zithenga,iphoyisa,1
iziNkosi zithenga umkhandlu onye,iziNkosi,zithenga,umkhandlu,1
iziNkosi zithenga iwayini elinye,iziNkosi,zithenga,iwayini,1
iziNkosi zithenga uphawu olunye,iziNkosi,zithenga,uphawu,1
iziNkosi zithenga indawo yokubhukuda enye,iziNkosi,zithenga,indawo yokubhukuda,1
iziNkosi zithenga ikhompyutha elinye,iziNkosi,zithenga,ikhompyutha,1
iziNkosi zithenga isikhulumi esinye,iziNkosi,zithenga,isikhulumi,1
iziNkosi zithenga inyama enye,iziNkosi,zithenga,inyama,1
iziNkosi zithenga udokotela onye,iziNkosi,zithenga,udokotela,1
iziNkosi zithenga indlovu enye,iziNkosi,zithenga,indlovu,1
iziNkosi zithenga inkampani enye,iziNkosi,zithenga,inkampani,1
iziNkosi zithenga inkukhu enye,iziNkosi,zithenga,inkukhu,1
iziNkosi zithenga umlamuleli onye,iziNkosi,zithenga,umlamuleli,1
iziNkosi zithenga isidlo esinye,iziNkosi,zithenga,isidlo,1
iziNkosi zithenga umfundi we-undergraduate onye,iziNkosi,zithenga,umfundi we-undergraduate,1
iziNkosi zithenga ipayipi elinye,iziNkosi,zithenga,ipayipi,1
iziNkosi zithenga umfundisi onye,iziNkosi,zithenga,umfundisi,1
iziNkosi zithenga ibhodwe elinye,iziNkosi,zithenga,ibhodwe,1
iziNkosi zithenga iphalamende elinye,iziNkosi,zithenga,iphalamende,1
iziNkosi zithenga iholidi elinye,iziNkosi,zithenga,iholidi,1
iziNkosi zithenga indaba enye,iziNkosi,zithenga,indaba,1
iziNkosi zithenga ufishi onye,iziNkosi,zithenga,ufishi,1
iziNkosi zithenga ithoyizi elinye,iziNkosi,zithenga,ithoyizi,1
iziNkosi zithenga umfula onye,iziNkosi,zithenga,umfula,1
iziNkosi zithenga ukhilimu oyiqhwa onye,iziNkosi,zithenga,ukhilimu oyiqhwa,1
iziNkosi zithenga ibhokisi elinye,iziNkosi,zithenga,ibhokisi,1
iziNkosi zithenga isitambu esinye,iziNkosi,zithenga,isitambu,1
iziNkosi zithenga umsebenzi onye,iziNkosi,zithenga,umsebenzi,1
iziNkosi zithenga umgodi onye,iziNkosi,zithenga,umgodi,1
iziNkosi zithenga ihlo elinye,iziNkosi,zithenga,ihlo,1
iziNkosi zithenga insimu enye,iziNkosi,zithenga,insimu,1
iziNkosi zithenga isifunda esinye,iziNkosi,zithenga,isifunda,1
iziNkosi zithenga udonga onye,iziNkosi,zithenga,udonga,1
iziNkosi zithenga itiye elinye,iziNkosi,zithenga,itiye,1
iziNkosi zithenga ibhodlela elinye,iziNkosi,zithenga,ibhodlela,1
iziNkosi zithenga ukhiye onye,iziNkosi,zithenga,ukhiye,1
iziNkosi zithenga inkantini enye,iziNkosi,zithenga,inkantini,1
iziNkosi zithenga isisu esinye,iziNkosi,zithenga,isisu,1
iziNkosi zithenga uphaya onye,iziNkosi,zithenga,uphaya,1
iziNkosi zithenga intaba enye,iziNkosi,zithenga,intaba,1
iziNkosi zithenga umengammeli onye,iziNkosi,zithenga,umengammeli,1
iziNkosi zithenga umhlaba onye,iziNkosi,zithenga,umhlaba,1
iziNkosi zithenga ibhanoyi elinye,iziNkosi,zithenga,ibhanoyi,1
